time,open,high,low,close
2018-08-27,6704.3025,7331.395,6649.35,7291.145
2018-09-03,7293.19,7407.38,6174.7175,6289.405
2018-09-10,6275.6375,6556.87,6224.24,6487.8875
2018-09-17,6473.68,6736.59,6176.1775,6638.72
2018-09-24,6624.075,6708.9725,6339.925,6565.645
2018-10-01,6550.5825,6602.4075,6397.16,6572.825
2018-10-08,6572.1375,6670.28,6051.4775,6182.4575
2018-10-15,6182.325,6788.75,6150.965,6412.975
2018-10-22,6413.2125,6468.92,6355.14,6405.5225
2018-10-29,6405.1675,6465.9925,6201.48,6422.5075
2018-11-05,6425.5625,6544.225,6272.6775,6358.58
2018-11-12,6357.94,6384.7625,5198.475,5560.145
2018-11-19,5557.3375,5559.6325,3465.1275,3935.5125
2018-11-26,3934.365,4418.2775,3516.245,4102.0975
2018-12-03,4101.76,4117.88,3209.9275,3532.5225
2018-12-10,3531.07,3591.6675,3124.5125,3192.87
2018-12-17,3193.15,4175.0175,3183.1525,3944.385
2018-12-24,3945.94,4238.61,3566.69,3831.0375
2018-12-31,3831.2325,4085.235,3624.6325,4040.9525
2019-01-07,4040.925,4113.205,3454.2175,3514.2175
2019-01-14,3515.37,3812.475,3473.4275,3534.25
2019-01-21,3535.4675,3662.0075,3422.5425,3531.82
2019-01-28,3531.8075,3536.2175,3331.09,3415.1975
2019-02-04,3415.5825,3709.55,3334.485,3648.38
2019-02-11,3649.3475,3672.3025,3533.8025,3625.62
2019-02-18,3625.6925,4189.02,3616.5225,3732.395
2019-02-25,3733.3925,3901.195,3654.1475,3787.94
2019-03-04,3787.995,3948.115,3672.0725,3898.95562045
2019-03-11,3899.7175,4039.2475,3780.2225,3965.74
2019-03-18,3965.7975,4058.8625,3905.785,3970.085
2019-03-25,3969.7925,4130.43,3855.625,4095.32
2019-04-01,4094.2825,5348.0025,4052.07,5193.965
2019-04-08,5194.5225,5472.3,4909.4075,5161.725
2019-04-15,5161.635,5360.6425,4946.7275,5296.6375
2019-04-22,5296.14,5641.495,4821.9125,5157.275
2019-04-29,5155.0925,5842.5525,5070.6625,5714.345
2019-05-06,5716.1625,7583.4125,5565.1925,6976.065
2019-05-13,6970.955,8382.2375,6511.1025,8196.835
2019-05-20,8195.7525,8792.645,7469.0775,8737.8225
2019-05-27,8737.1525,9093.925,7990.2,8739.8225
2019-06-03,8737.2425,8745.0475,7431.4175,7638.2825
2019-06-10,7630.8825,9389.2075,7522.6825,8978.795
2019-06-17,8975.545,11254.715,8927.7925,10830.4725
2019-06-24,10826.6,13870.6275,10299.75,10754.915
2019-07-01,10756.975,12060.64,9646.02,11475.0375
2019-07-08,11478.405,13196.8325,10136.125,10299.7
2019-07-15,10296.7475,11141.285,9073.385,10594.06
2019-07-22,10595.26,10690.0325,9112.6225,9530.3275
2019-07-29,9536.545,11084.9425,9364.8125,10977.9675
2019-08-05,10980.5325,12326.6025,10979.3825,11530.865
2019-08-12,11536.2775,11552.0775,9476.2725,10319.71
2019-08-19,10319.355,10954.37,9756.5875,10136.39
2019-08-26,10143.4875,10671.6025,9309.9575,9768.0175
2019-09-02,9768.075,10951.85,9753.375,10403.6725
2019-09-09,10396.9375,10537.5575,9865.0025,10309.045
2019-09-16,10311.38,10379.8825,9603.04,10026.9475
2019-09-23,10027.4225,10048.11,7723.61,8052.3225
2019-09-30,8058.2875,8534.375,7694.05,7859.23
2019-10-07,7862.8675,8847.7775,7767.4025,8280.48
2019-10-14,8279.3375,8417.52,7815.45,8234.765
2019-10-21,8235.9125,10520.2475,7291.8075,9549.05
2019-10-28,9559.325,9939.62,8955.9075,9205.705
2019-11-04,9206.825,9596.625,8666.5075,9033.985
2019-11-11,9035.32,9069.11,8366.9325,8500.63
2019-11-18,8500.9325,8503.1525,6777.6175,6908.4475
2019-11-25,6906.5825,7867.225,6522.48,7403.8775
2019-12-02,7407.6975,7792.265,7081.72,7523.3275
2019-12-09,7520.8875,7660.845,7008.8775,7114.98
2019-12-16,7114.755,7525.115,6430.145,7511.47
2019-12-23,7517.5525,7690.6175,7025.6275,7387.9625
2019-12-30,7382.7925,7491.835,6857.05,7352.6925
2020-01-06,7351.62,8465.065,7343.53,8178.0025
2020-01-13,8180.7775,9187.0675,8029.4375,8700.1475
2020-01-20,8700.5775,8791.005,8217.7925,8590.48
2020-01-27,8596.5925,9569.5,8557.0475,9324.0225
2020-02-03,9319.475,10177.09,9077.93,10167.7075
2020-02-10,10166.69,10514.2025,9617.6525,9922.8975
2020-02-17,9921.6375,10306.265,9307.4275,9968.39
2020-02-24,9970.12,10026.365,8406.2525,8527.415
2020-03-02,8521.375,9217.95,8000.2,8036.475
2020-03-09,8037.4375,8186.585,3880.5875,5343.135
2020-03-16,5346.805,7027.6625,4407.18,5824.085
2020-03-23,5817.7525,6983.76,5686.91,5876.4525
2020-03-30,5878.2075,7267.625,5854.3525,6777.015
2020-04-06,6777.865,7469.58,6751.2875,6906.54
2020-04-13,6906.2925,7304.32,6469.8825,7130.2775
2020-04-20,7128.3575,7774.8625,6755.955,7703.1325
2020-04-27,7706.215,9481.3425,7634.8975,8908.385
2020-05-04,8913.4975,10078.3,8086.295,8726.06
2020-05-11,8730.695,9946.5675,8189,9670.7075
2020-05-18,9681.9,9956.7475,8672.7825,8716.09
2020-05-25,8712.855,9754.3975,8636.7325,9448.95
2020-06-01,9446.96,10413.065,9241.5475,9752.5925
2020-06-08,9756.0075,10010.6675,9065.3425,9329.6975
2020-06-15,9330.565,9591.99,8900.6275,9285.9675
2020-06-22,9287.1825,9789.2375,8820.86,9116.235
